"2016 Form EIA-860 Data - Schedule 3, 'Solar Technology Data' (Operable Units Only)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Status,Technology,Prime Mover,Sector Name,Sector,Nameplate Capacity (MW),Summer Capacity (MW),Winter Capacity (MW),Operating Month,Operating Year,Lenses / Mirrors?,Single-Axis Tracking?,Dual-Axis Tracking?,Fixed Tilt?,East West Fixed Tilt?,Parabolic Trough?,Linear Fresnel?,Power Tower?,Dish Engine?,Other Solar Technology?,Tilt Angle,DC Net Capacity (MW),Crystalline Silicon?,Thin-Film (CdTe)?,Thin-Film (A-Si)?,Thin-Film (CIGS)?,Thin-Film (Other)?,Other Materials?,Net Metering Agreement?,Net Metering DC Capacity (MW),Virtual Net Metering Agreement?,Virtual Net Metering DC Capacity (MW)
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0008,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0009,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0010,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0011,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55910,Lanai Sustainability Research LLC,56667,Lanai Solar-Electric Plant,HI,Maui,0012,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.1,0.1,0.1,12,2008,,N,,,N,,,,,Y, ,0.1,Y,,,,,,N, ,N, 
55961,CalRenew-1 LLC,56768,CalRenew-1,CA,Fresno,CR1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,5.0,5.0,5.0,4,2010,,,,Y,,,,,,,25.0,6.3,Y,,,,,,N, ,N, 
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN 1,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.7,140.0,10,2013,,Y,,,,Y,,,,, , ,,,,,,,N, ,N, 
56023,Arizona Solar One LLC,56812,Solana Generating Station,AZ,Maricopa,GEN2,OP,Solar Thermal with Energy Storage,CP,IPP Non-CHP,2,140.0,147.7,140.0,10,2013,,Y,,,,Y,,,,, , ,,,,,,,N, ,N, 
56028,MMA Fresno Power LP,56813,CSU Fresno Solar Project,CA,Fresno,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2007,,,,Y,,,,,,,2.0,0.6,Y,,,,,,Y,0.5,N, 
56028,MMA Fresno Power LP,56813,CSU Fresno Solar Project,CA,Fresno,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.5,0.5,12,2007,,,,Y,,,,,,,2.0,0.6,Y,,,,,,Y,0.5,N, 
56027,MMA LA Power LP,56814,ELACC Photovoltaic Power Facility,CA,Los Angeles,PV1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.4,0.3,5,2008,,,,Y,,,,,,,2.0,0.6,Y,,,,,,Y,0.5,N, 
56027,MMA LA Power LP,56814,ELACC Photovoltaic Power Facility,CA,Los Angeles,PV2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.5,0.4,0.3,5,2008,,,,Y,,,,,,,2.0,0.6,Y,,,,,,Y,0.5,N, 
56026,MMA DAS Power,56815,Denver Int Airport,CO,Denver,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.9,1.9,1.8,9,2008,,Y,,,,,,,,,0.0,2.0,Y,,,,,,Y,1.8,N, 
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,1,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,,15.0,0.6,Y,,,,,,Y,0.3,N, 
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,2,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,,15.0,0.4,Y,,,,,,Y,0.3,N, 
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,3,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,,15.0,0.4,Y,,,,,,Y,0.3,N, 
56105,MMA WBF Power LP,56862,Bolthouse S&P and Rowen Farms Solar,CA,Los Angeles,4,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,0.3,0.3,0.3,11,2008,,Y,,,,,,,,,15.0,0.4,Y,,,,,,Y,0.3,N, 
57170,"EDF Renewable Asset Holdings, Inc.",56875,Sacramento Soleil LLC,CA,Sacramento,TBD,OP,Solar Photovoltaic,PV,IPP Non-CHP,2,1.0,1.0,1.0,8,2008,,,,Y,,,,,,,45.0,1.3,,Y,,,,,N, ,N, 
