plant_id,type,n,c2,c1,c0
TOK-DFO-IC,dfo,1,,0.0,
UPPER GORGE-WAT-HY,hydro,1,,6051.0,
VALLEY (CA)-NG-GT,ng,1,,6037.0,
VALLEY (CA)-NG-CT,ng,1,,6037.0,
VALLEY (CA)-NG-CA,ng,1,,6037.0,
EXCHEQUER-WAT-HY,hydro,1,,6043.0,
MCSWAIN-WAT-HY,hydro,1,,6043.0,
CHICAGO PARK-WAT-HY,hydro,1,,6057.0,
DUTCH FLAT 2-WAT-HY,hydro,1,,6057.0,
BEARDSLEY-WAT-HY,hydro,1,,6109.0,
DONNELLS-WAT-HY,hydro,1,,6109.0,
TULLOCH-WAT-HY,hydro,1,,6109.0,
FORBESTOWN-WAT-HY,hydro,1,,6007.0,
KELLY RIDGE-WAT-HY,hydro,1,,6007.0,
WOODLEAF-WAT-HY,hydro,1,,6007.0,
CRAIG (AK)-DFO-IC,dfo,1,,0.0,
GLENARM-NG-GT,ng,1,3.011908801457273e-23,10.57068864409034,64.64286255350974
GLENARM-NG-CT,ng,1,1.0406466154400068e-18,6.2957549890637114,97.49359209393288
GLENARM-NG-CA,ng,1,0.008173730816983752,7.089160503858113,101.05140846154049
HYDABURG-DFO-IC,dfo,1,,0.0,
FRENCH MEADOWS-WAT-HY,hydro,1,,6061.0,
MIDDLE FORK-WAT-HY,hydro,1,,6061.0,
OXBOW (CA)-WAT-HY,hydro,1,,6061.0,
RALSTON-WAT-HY,hydro,1,,6061.0,
PARKER-WAT-HY,hydro,1,,6047.0,
CAMINO-WAT-HY,hydro,1,,6017.0,
JAYBIRD-WAT-HY,hydro,1,,6017.0,
LOON LAKE-WAT-HY,hydro,1,,6017.0,
ROBBS PEAK-WAT-HY,hydro,1,,6017.0,
WHITE ROCK/SLAB CREEK-WAT-HY,hydro,1,,6017.0,
DEVIL CANYON-WAT-HY,hydro,1,,6071.0,
EDWARD C HYATT-WAT-HY,hydro,1,,6007.0,
DON PEDRO-WAT-HY,hydro,1,,6109.0,
LA GRANGE-WAT-HY,hydro,1,,6099.0,
FOLSOM-WAT-HY,hydro,1,,6067.0,
JUDGE F CARR-WAT-HY,hydro,1,,6089.0,
KESWICK-WAT-HY,hydro,1,,6089.0,
NIMBUS-WAT-HY,hydro,1,,6067.0,
SHASTA-WAT-HY,hydro,1,,6089.0,
PARKER DAM-WAT-HY,hydro,1,,6071.0,
SPRING CREEK-WAT-HY,hydro,1,6.585071160559458e-17,9.542759254729551,155.95476751772497
TRINITY-WAT-HY,hydro,1,,6105.0,
COLGATE-WAT-HY,hydro,1,,6115.0,
NARROWS 2-WAT-HY,hydro,1,,6115.0,
BEAR VALLEY-WAT-HY,hydro,1,,6073.0,
PUEBLO-DFO-IC,dfo,1,7.424660232327009e-27,7.590978349401457,92.46153769238502
ALAMOSA-NG-GT,ng,1,,8003.0,
BOULDER CANYON HYDRO-WAT-HY,hydro,1,,8013.0,
