bus_id,Pd,zone_id,baseKV,interconnect
108791,0,52,138.0,Eastern
108792,0,52,138.0,Eastern
108793,0,52,138.0,Eastern
108794,0,52,138.0,Eastern
108795,0,52,138.0,Eastern
108796,0,52,138.0,Eastern
108797,0,52,138.0,Eastern
108798,0,52,138.0,Eastern
108799,0,52,138.0,Eastern
108800,0,52,138.0,Eastern
108801,0,52,138.0,Eastern
108802,0,52,103.5,Eastern
108803,0,52,138.0,Eastern
108804,0,52,69.0,Eastern
108805,0,52,138.0,Eastern
108807,0,35,345.0,Eastern
108808,0,52,69.0,Eastern
108809,0,52,138.0,Eastern
108810,0,52,138.0,Eastern
108811,0,52,138.0,Eastern
108812,0,52,69.0,Eastern
108813,0,52,69.0,Eastern
108814,0,52,69.0,Eastern
108815,0,52,69.0,Eastern
108816,0,52,138.0,Eastern
108817,0,52,138.0,Eastern
108818,0,52,138.0,Eastern
108819,0,52,138.0,Eastern
108820,0,52,138.0,Eastern
108822,0,52,138.0,Eastern
108823,0,52,138.0,Eastern
108824,0,52,138.0,Eastern
108825,0,52,138.0,Eastern
108826,0,52,138.0,Eastern
108827,0,52,138.0,Eastern
108828,0,52,138.0,Eastern
108829,0,52,138.0,Eastern
108830,0,52,138.0,Eastern
108831,0,52,138.0,Eastern
108832,0,52,138.0,Eastern
108834,0,52,138.0,Eastern
108835,0,52,138.0,Eastern
108836,0,52,138.0,Eastern
108837,0,52,138.0,Eastern
108838,0,52,138.0,Eastern
108839,0,52,138.0,Eastern
108840,0,52,138.0,Eastern
108841,0,52,138.0,Eastern
108843,0,52,138.0,Eastern
108844,0,52,138.0,Eastern
108845,0,52,138.0,Eastern
108846,0,52,69.0,Eastern
108847,0,52,138.0,Eastern
108848,0,52,103.5,Eastern
108849,0,52,69.0,Eastern
108850,0,52,69.0,Eastern
108851,0,52,69.0,Eastern
108852,0,52,69.0,Eastern
108855,0,52,138.0,Eastern
108856,0,52,138.0,Eastern
108857,0,52,138.0,Eastern
108860,0,52,138.0,Eastern
108861,0,52,69.0,Eastern
108862,0,52,69.0,Eastern
108863,0,52,69.0,Eastern
108865,0,52,69.0,Eastern
108866,0,52,103.5,Eastern
108867,0,52,69.0,Eastern
108868,0,52,69.0,Eastern
108869,0,52,92.0,Eastern
108870,0,52,138.0,Eastern
108871,0,52,92.0,Eastern
