plant_id,bus_id,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,Pc1,Pc2,Qc1min,Qc1max,Qc2min,Qc2max,ramp_agc,ramp_10,ramp_30,ramp_q,apf,mu_Pmax,mu_Pmin,mu_Qmax,mu_Qmin,type,interconnect,GenFuelCost,GenIOB,GenIOC,GenIOD,distance,lat,lon,zip,state
10384,307141,0.0,0.0,0.0,0.0,0.0,0.0,1,29.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wind,Western,0.0,0.0,0.0,0.0,5744.137509527527,33.9461,-116.6769,92258,CA
10385,309958,5.2,0.0,0.0,0.0,0.0,0.0,1,76.9,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,wind,Western,0.0,0.0,0.0,0.0,5963.029035625983,35.2608,-118.2469,93561,CA
10386,308777,0.2,0.0,0.0,0.0,0.0,0.0,1,6.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,ng,Western,0.0,0.0,0.0,0.0,488.8304617168813,37.455314,-122.172797,94025,CA
10387,156366,0.0,0.0,0.0,0.0,0.0,0.0,1,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Eastern,0.0,0.0,0.0,0.0,5107.891504318504,44.170847196,-72.097320302,05081,VT
10395,206501,0.5,0.0,0.0,0.0,0.0,0.0,1,7.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,other,Western,0.0,0.0,0.0,0.0,24.33533157550353,48.093960209,-122.796050476,98368,WA
10399,306006,0.1,0.0,0.0,0.0,0.0,0.0,1,3.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,hydro,Western,0.0,0.0,0.0,0.0,23408.33161162407,39.448352,-120.653417,95604,CA
10400,300962,2.0,0.0,0.0,0.0,0.0,0.0,1,38.9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,wind,Western,0.0,0.0,0.0,0.0,23408.33161162407,33.912068977,-116.752213504,92230,CA
10401,300743,4.0,0.0,0.0,0.0,0.0,0.0,1,20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,wind,Western,0.0,0.0,0.0,0.0,586.9406018928245,33.881667,-116.460278,92235,CA
10402,148190,44.0,0.0,0.0,0.0,0.0,0.0,1,126.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,111.962332937744,36.4517,-77.6594,27870,NC
10404,148190,44.0,0.0,0.0,0.0,0.0,0.0,1,88.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,dfo,Eastern,0.0,0.0,0.0,0.0,111.962332937744,36.4517,-77.6594,27870,NC
10405,161780,0.0,0.0,0.0,0.0,0.0,0.0,1,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ng,Eastern,0.0,0.0,0.0,0.0,1243.376036115117,35.441965712,-97.648178966,73179,OK
