plant_id,type,startup,shutdown,n,c2,c1,c0,interconnect
19313,2,0,0,3,0.0,37183.0,0.0,Eastern
19337,2,0,0,3,0.0,12091.0,0.0,Eastern
19338,2,0,0,3,0.0,12113.0,0.0,Eastern
19339,2,0,0,3,0.0,12033.0,0.0,Eastern
19341,2,0,0,3,0.0,37061.0,0.0,Eastern
19342,2,0,0,3,0.0,16039.0,0.0,Western
19343,2,0,0,3,0.0,49027.0,0.0,Western
19344,2,0,0,3,0.0,6041.0,0.0,Western
19345,2,0,0,3,0.0,41039.0,0.0,Western
19346,2,0,0,3,0.0,36029.0,0.0,Eastern
19347,2,0,0,3,2.908076874287198e-20,7.483663581993816,94.3523857217815,Eastern
19348,2,0,0,3,0.0,37069.0,0.0,Eastern
19349,2,0,0,3,0.0,27053.0,0.0,Eastern
19351,2,0,0,3,0.0,1049.0,0.0,Eastern
19354,2,0,0,3,0.0,37101.0,0.0,Eastern
19355,2,0,0,3,0.0,48061.0,0.0,Texas
19356,2,0,0,3,0.0,31109.0,0.0,Eastern
19357,2,0,0,3,0.0,29510.0,0.0,Eastern
19358,2,0,0,3,0.0,10003.0,0.0,Eastern
19359,2,0,0,3,0.0,25017.0,0.0,Eastern
19370,2,0,0,3,0.0,50007.0,0.0,Eastern
19371,2,0,0,3,0.0,6025.0,0.0,Western
19372,2,0,0,3,0.0,6025.0,0.0,Western
19373,2,0,0,3,0.0,25023.0,0.0,Eastern
19374,2,0,0,3,0.0,25005.0,0.0,Eastern
19375,2,0,0,3,0.0,20125.0,0.0,Eastern
19378,2,0,0,3,0.0,45075.0,0.0,Eastern
19379,2,0,0,3,0.0,45075.0,0.0,Eastern
19380,2,0,0,3,0.0,29121.0,0.0,Eastern
19381,2,0,0,3,0.0,6037.0,0.0,Western
19383,2,0,0,3,0.0,48023.0,0.0,Texas
19384,2,0,0,3,0.0,48275.0,0.0,Texas
19385,2,0,0,3,0.0,48045.0,0.0,Texas
19386,2,0,0,3,0.0,19113.0,0.0,Eastern
19387,2,0,0,3,0.0,31031.0,0.0,Eastern
19388,2,0,0,3,0.0,6019.0,0.0,Western
19389,2,0,0,3,0.0,6019.0,0.0,Western
19390,2,0,0,3,0.0,6037.0,0.0,Western
19391,2,0,0,3,0.0,6029.0,0.0,Western
19393,2,0,0,3,0.0,8045.0,0.0,Western
19394,2,0,0,3,0.0,24027.0,0.0,Eastern
19395,2,0,0,3,0.0,12105.0,0.0,Eastern
19396,2,0,0,3,0.0,25017.0,0.0,Eastern
19397,2,0,0,3,0.0,6019.0,0.0,Western
19398,2,0,0,3,0.0,32003.0,0.0,Western
19399,2,0,0,3,0.0,6019.0,0.0,Western
19400,2,0,0,3,0.0,24039.0,0.0,Eastern
19404,2,0,0,3,0.0,12105.0,0.0,Eastern
19405,2,0,0,3,0.0,50027.0,0.0,Eastern
19406,2,0,0,3,0.0,42111.0,0.0,Eastern
19408,2,0,0,3,0.0,42111.0,0.0,Eastern
19409,2,0,0,3,0.0,37185.0,0.0,Eastern
19410,2,0,0,3,0.0,37195.0,0.0,Eastern
19411,2,0,0,3,0.0,37047.0,0.0,Eastern
19412,2,0,0,3,0.0,37155.0,0.0,Eastern
19414,2,0,0,3,0.004952181040116,2.702492503464528,752.0142724554411,Eastern
19416,2,0,0,3,0.004952181040116,2.702492503464528,752.0142724554411,Eastern
19417,2,0,0,3,0.004952181040116,2.702492503464528,752.0142724554411,Eastern
19418,2,0,0,3,0.0,25027.0,0.0,Eastern
19419,2,0,0,3,0.0,25027.0,0.0,Eastern
19422,2,0,0,3,0.0,12057.0,0.0,Eastern
19423,2,0,0,3,0.0,18095.0,0.0,Eastern
19424,2,0,0,3,0.0,55055.0,0.0,Eastern
19426,2,0,0,3,0.0084113754236792,1.9095419559228808,790.3751364027272,Eastern
