Speed bin (m/s),0,0.5,1,1.5,2,2.5,3,3.5,4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15,15.5,16,16.5,17,17.5,18,18.5,19,19.5,20,20.5,21,21.5,22,22.5,23,23.5,24,24.5,25
NEG-Micon NM52/900,0,0,0,0,0,0.003147162,0.004773904,0.014555623,0.024358606,0.03471447,0.049971824,0.075468087,0.115286062,0.167852168,0.214145216,0.273335247,0.333450289,0.393586595,0.457635588,0.511233028,0.574154998,0.629581194,0.680754468,0.721550615,0.773361828,0.809320277,0.842833296,0.871593676,0.89566521,0.918620352,0.934494381,0.940203928,0.947529584,0.947327571,0.950155763,0.965806513,0.976991696,0.989016831,0.995417477,0.994747642,0.982116466,0.980096329,1,0.96260619,0.870509181,0,0,0,0,0,0
NEG-Micon NM54/950,0,0,0,0,0,0,0,0,0.027368421,0.050526316,0.073684211,0.103157895,0.132631579,0.173410526,0.217894737,0.277368421,0.336842105,0.404210526,0.471578947,0.543526316,0.609473684,0.673684211,0.737894737,0.782105263,0.826315789,0.865305263,0.901052632,0.925789474,0.950526316,0.965357895,0.978947368,0.986842105,0.994736842,0.997368421,1,0.995968421,0.991578947,0.986842105,0.982105263,0.976842105,0.971578947,0.967736842,0.964210526,0.961052632,0.957894737,0.956315789,0.954736842,0.954189474,0.953684211,0.954210526,0.954736842
NEG-Micon NM72C/1500,0,0,0,0,0,0,0,0,0,0,0.049333333,0.092,0.134666667,0.183766667,0.237333333,0.310666667,0.384,0.461333333,0.538666667,0.62562,0.705333333,0.781,0.856666667,0.903666667,0.950666667,0.95936,0.967333333,0.978,0.988666667,0.99458,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEG-Micon NM82/1650,0,0,0,0,0,0,0,0,0.02,0.053939394,0.087272727,0.137575758,0.187272727,0.246060606,0.30969697,0.384848485,0.459393939,0.538181818,0.616363636,0.692727273,0.762424242,0.836969697,0.911515152,0.952121212,0.992121212,0.995757576,0.998787879,0.999393939,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nordex N100/2500,0,0,0,0,0,0,0.0012,0.0184,0.0404,0.0684,0.1024,0.1424,0.1888,0.2432,0.306,0.378,0.4592,0.5488,0.646,0.7508,0.8432,0.9128,0.9604,0.9892,0.9992,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nordex N117/2400,0,0,0,0,0,0,0.009583333,0.03375,0.064166667,0.102083333,0.148333333,0.203333333,0.268333333,0.344166667,0.432083333,0.530416667,0.636666667,0.74875,0.849583333,0.921666667,0.96875,0.99375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Nordex N117/3000,0,0,0,0,0,0,0.005333333,0.018666667,0.043,0.073666667,0.111,0.155666667,0.208,0.269,0.34,0.421,0.511333333,0.608333333,0.710333333,0.806666667,0.881,0.935666667,0.972,0.992666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Nordex N60/1300,0,0,0,0,0,0,0,0,0.021260997,0.038093842,0.053519062,0.074780059,0.096041056,0.134259531,0.175953079,0.225806452,0.275659824,0.33431085,0.392961877,0.457221408,0.516129032,0.577346041,0.63856305,0.691715543,0.744868035,0.786180352,0.824046921,0.869134897,0.914222874,0.933159824,0.953812317,0.96957478,0.985337243,0.992668622,1,0.98393695,0.969208211,0.968108504,0.967008798,0.965175953,0.963343109,0.962580645,0.961876833,0.960043988,0.958211144,0.955278592,0.9521261,0.949670088,0.947214076,0.947214076,0.947214076
Nordex N90/2500,0,0,0,0,0,0,0.0004,0.0148,0.0336,0.0568,0.0848,0.1176,0.1564,0.2016,0.254,0.314,0.3804,0.4524,0.5284,0.608,0.6888,0.7696,0.8488,0.912,0.9556,0.9836,0.998,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Northern Power NPS 100C-24,0,0,0,0,0,0.006295908,0.012591815,0.044071354,0.075550892,0.113850997,0.152151102,0.205666317,0.259181532,0.328436516,0.397691501,0.506820567,0.615949633,0.700419727,0.784889822,0.838929696,0.89296957,0.919727177,0.946484785,0.970094439,0.993704092,0.996852046,1,0.998950682,0.997901364,0.993179433,0.988457503,0.981636936,0.974816369,0.965372508,0.955928646,0.944386149,0.932843652,0.92339979,0.913955929,0.898216159,0.88247639,0.867785939,0.853095488,0.838929696,0.824763903,0.811647429,0.798530955,0.789087093,0.779643232,0.766002099,0.752360965
REpower MM92,0,0,0,0,0,0,0.01,0.0285,0.047,0.075,0.1025,0.149,0.1955,0.259,0.3225,0.406,0.4895,0.5885,0.6875,0.875,0.975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SANY SE8720IIIE,0,0,0,0,0,0,0,0.025465,0.046075,0.07179,0.10163,0.1355,0.17575,0.22371,0.279385,0.34334,0.417105,0.500265,0.59376,0.691755,0.785335,0.864255,0.92881,0.97773,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SANY SE9320III-3,0,0,0,0,0,0,0,0.031925,0.054245,0.091715,0.11358,0.154555,0.20092,0.25569,0.3195,0.39326,0.477525,0.573015,0.68002,0.79627,0.91657,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Senvion MM92,0,0,0,0,0,0,0.01,0.0285,0.047,0.075,0.1025,0.149,0.1955,0.259,0.3225,0.406,0.4895,0.5885,0.6875,0.875,0.975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Siemens SWT-2.3-101,0,0,0,0,0,0,0.003913043,0.027826087,0.05173913,0.07826087,0.10826087,0.156086957,0.203913043,0.254347826,0.304347826,0.386086957,0.467391304,0.566521739,0.665217391,0.782608696,0.873913043,0.919565217,0.954347826,0.982608696,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Siemens SWT-2.3-108,0,0,0,0,0,0,0.01173913,0.025217391,0.04,0.06826087,0.097826087,0.162608696,0.227826087,0.313913043,0.399565217,0.502173913,0.603913043,0.726086957,0.846521739,0.940434783,0.975217391,0.98826087,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Siemens SWT-2.3-82,0,0,0,0,0,0,0,0.008695652,0.01826087,0.036956522,0.059130435,0.086956522,0.12,0.160869565,0.204347826,0.260869565,0.316086957,0.384782609,0.453478261,0.53,0.606086957,0.680869565,0.755652174,0.816086957,0.876086957,0.913043478,0.949130435,0.969565217,0.982608696,0.993478261,0.994782609,0.998695652,0.999130435,0.999565217,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Siemens SWT-2.3-93,0,0,0,0,0,0,0,0.001130435,0.023043478,0.043478261,0.070869565,0.120869565,0.170869565,0.233478261,0.296521739,0.373913043,0.45173913,0.536521739,0.62173913,0.686956522,0.752173913,0.819565217,0.886956522,0.930434783,0.974347826,0.991304348,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Siemens SWT-2.625-120,0,0,0,0,0,0.009142857,0.020571429,0.043047619,0.066666667,0.107047619,0.148571429,0.208761905,0.269714286,0.349714286,0.43047619,0.524190476,0.617904762,0.728380952,0.838095238,0.914285714,0.971047619,0.992380952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Siemens SWT-3.0-101,0,0,0,0,0,0,0,0.016666667,0.037666667,0.061,0.084333333,0.114,0.143333333,0.189666667,0.235666667,0.297,0.358333333,0.435333333,0.512333333,0.598666667,0.684666667,0.767333333,0.849666667,0.916666667,0.958666667,0.983333333,0.994,0.998333333,0.999333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Siemens SWT-3.2-113,0,0,0,0,0,0,0.02,0.03640625,0.0528125,0.08109375,0.109375,0.15203125,0.1946875,0.25421875,0.31375,0.3921875,0.470625,0.56578125,0.6609375,0.75421875,0.8475,0.90546875,0.9634375,0.9796875,0.9959375,0.9978125,0.9996875,0.99984375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Suzlon S64-1250,0,0,0,0,0,0,0,0,0.02988,0.050536,0.0712,0.0948,0.1184,0.166992,0.22,0.2884,0.3568,0.4268,0.4968,0.576104,0.6488,0.7204,0.792,0.8468,0.9016,0.931232,0.9584,0.9792,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suzlon S64-950,0,0,0,0,0,0,0.016842105,0.027894737,0.041831579,0.073547368,0.105263158,0.147894737,0.190526316,0.243894737,0.302105263,0.388947368,0.475789474,0.577368421,0.678947368,0.797578947,0.906315789,0.953157895,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suzlon S88-2100,0,0,0,0,0,0,0,0,0.007247619,0.03457619,0.061904762,0.104761905,0.147619048,0.196585714,0.25,0.320238095,0.39047619,0.471428571,0.552380952,0.646790476,0.733333333,0.814285714,0.895238095,0.947619048,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Suzlon S97-2100,0,0,0,0,0,0,0,0,0.033333333,0.065238095,0.096666667,0.143333333,0.196666667,0.24952381,0.309047619,0.386666667,0.477619048,0.564761905,0.664761905,0.767619048,0.867619048,0.93,0.97047619,0.982857143,0.992380952,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VENSYS VENSYS77,0,0,0,0,0,0,0.0122,0.0276,0.0472,0.0704,0.098466667,0.132866667,0.175133333,0.223,0.2802,0.3464,0.422466667,0.5056,0.595,0.6882,0.774333333,0.8584,0.915133333,0.96,0.978866667,0.994533333,0.997066667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VENSYS VENSYS82,0,0,0,0,0,0,0.017266667,0.034933333,0.0572,0.0838,0.116733333,0.157466667,0.207333333,0.264066667,0.3312,0.4096,0.497866667,0.593133333,0.693733333,0.79,0.872933333,0.935133333,0.9744,0.989266667,0.994133333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Vestas V100-1.8,0,0,0,0,0,0,0.007222222,0.028888889,0.06,0.098333333,0.142222222,0.194444444,0.254444444,0.327222222,0.413333333,0.508888889,0.614444444,0.728888889,0.838888889,0.923888889,0.971666667,0.991111111,0.997777778,0.999444444,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Vestas V100-2.0,0,0,0,0,0,0,0,0.0245,0.0485,0.0915,0.134,0.1845,0.235,0.29,0.361,0.45,0.5515,0.6575,0.763,0.8525,0.9415,0.97,0.99,0.9975,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
Vestas V110-2.0,0,0,0,0,0,0,0,0,0.022,0.06,0.0975,0.1495,0.2015,0.269,0.3365,0.4625,0.588,0.76,0.864,0.9205,0.947,0.975,0.99,0.995,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
Vestas V112-3.0,0,0,0,0,0,0,0,0.012,0.025333333,0.044666667,0.064,0.089666667,0.115333333,0.155,0.194666667,0.245666667,0.296666667,0.366,0.435333333,0.504666667,0.574,0.647333333,0.720666667,0.784,0.847333333,0.900333333,0.953333333,0.976666667,0.99,0.994333333,0.998333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
