Area Name,State,UA,MDV Truck,HDV Truck,LDV Car - 100 mi,LDV Car - 200 mi,LDV Car - 300 mi,LDV Truck - 100 mi,LDV Truck - 200 mi,LDV Truck - 300 mi
"Rocky Mount, NC",NC,Rocky Mount,381940.7430015612,291333.8360079223,9188254.408987874,5567517.50104461,6087468.783391322,2862898.5691971905,1153122.2061540852,0.0
"Myrtle Beach-Socastee, SC-NC",NC,Myrtle Beach-Socastee,121843.68752119385,92938.9951957938,2931163.5890842206,1776104.99821247,1941975.706518229,913299.0524362822,367859.84301186143,0.0
"Hickory, NC",NC,Hickory,1704089.7419580563,1299832.5277498914,40994867.32368094,24840370.22901034,27160216.07630542,12773280.079248803,5144839.242047522,0.0
"Concord, NC",NC,Concord,1161787.1731066154,886179.1258665661,27948827.956170112,16935272.126058005,18516859.693080876,8708363.526393889,3507566.586392545,0.0
"Raleigh, NC",NC,Raleigh,6252304.533407713,4769084.987615334,150410150.6530909,91139307.7314763,99650821.15164635,46865159.14015721,18876412.97561392,0.0
"Greenville, NC",NC,Greenville,605883.6249419283,462151.2731046755,14575593.17829434,8831913.71245446,9656727.439488925,4541498.63487898,1829231.0392840568,0.0
"Jacksonville, NC",NC,Jacksonville,551433.4290477923,420618.16952280235,13265698.222959599,8038197.870060893,8788886.357256595,4133358.3912046063,1664839.7530297083,0.0
"New Bern, NC",NC,New Bern,363085.0597228304,276951.24226583325,8734647.879192835,5292659.8207052825,5786942.103658915,2721562.747688111,1096194.770421407,0.0
"High Point, NC",NC,High Point,1213950.4086962424,925967.7993751393,29203706.0705783,17695651.143949725,19348250.619843677,9099361.489482703,3665053.281398006,0.0
"Gastonia, NC-SC",NC,Gastonia,1025306.1920491203,782075.2079626254,24665538.600628916,14945800.55351557,16341591.0763187,7685348.274547519,3095515.1023369427,0.0
"Asheville, NC",NC,Asheville,2513254.3372515817,1917040.90320644,60460740.75178031,36635493.237146616,40056887.365586214,18838504.082076352,7587798.471623178,0.0
"Greensboro, NC",NC,Greensboro,2470795.2276589014,1884654.2686360981,59439312.407030374,36016570.43284383,39380163.26910778,18520244.96379796,7459609.628139021,0.0
"Wilmington, NC",NC,Wilmington,1283024.6937549198,978655.7537355542,30865409.138049908,18702541.08167695,20449174.15768173,9617118.957064522,3873596.343207604,0.0
