puma,state,hh_total,moe_total,hh_utilgas,moe_utilgas,hh_othergas,moe_othergas,hh_elec,moe_elec,hh_fok,moe_fok,hh_coal,moe_coal,hh_wood,moe_wood,hh_solar,moe_solar,hh_other,moe_other,hh_none,moe_none
puma_2100800,KY,41697,623,4827,410,2646,373,30382,803,1236,227,475,143,1952,308,11,19,138,57,30,36
puma_2100900,KY,47690,746,10607,617,1708,271,31782,851,867,170,1265,248,1216,236,0,28,124,68,121,61
puma_2101000,KY,42980,682,5683,401,2899,297,29449,772,1199,246,1528,228,2051,282,0,28,96,61,75,51
puma_2101100,KY,61146,732,14118,714,2130,311,41992,982,1182,232,612,159,964,144,2,4,112,79,34,29
puma_2101200,KY,39957,558,6770,385,4535,415,25733,643,887,169,13,20,1833,236,0,28,86,44,100,50
puma_2101300,KY,60335,788,13837,489,6266,449,37088,904,518,157,10,16,2371,255,10,16,96,60,139,62
puma_2101400,KY,41488,583,15528,649,4210,356,20237,680,310,137,47,33,1003,190,37,36,47,45,69,51
puma_2101500,KY,40837,541,25921,644,2171,235,11956,515,93,68,39,38,531,129,11,16,71,47,44,39
puma_2101600,KY,39588,450,16014,567,5087,382,16934,616,454,128,0,28,927,174,0,28,153,82,19,18
puma_2101701,KY,51369,797,35844,794,567,123,13847,729,91,59,10,15,94,71,8,12,584,198,324,83
puma_2101702,KY,52510,646,39339,748,274,96,12507,667,79,48,2,3,25,29,0,28,226,101,58,37
puma_2101703,KY,43544,520,28958,607,318,103,14030,553,186,96,0,28,28,20,2,3,9,11,13,13
puma_2101704,KY,51397,690,33232,820,1030,226,16649,704,226,88,0,28,78,47,0,28,171,86,11,13
puma_2101705,KY,47781,708,30485,789,382,101,16614,760,80,56,0,28,102,66,13,21,45,37,60,44
puma_2101706,KY,57314,567,41471,760,660,138,14694,784,6,7,0,28,226,94,0,28,168,86,89,62
puma_2101800,KY,38611,478,15887,561,3296,280,17890,649,414,132,0,28,937,186,0,28,134,68,53,33
puma_2101901,KY,47163,671,26809,819,218,79,19771,803,83,52,0,28,129,76,0,28,34,29,119,70
puma_2101902,KY,75630,714,31135,826,512,130,43418,1010,191,70,10,17,269,119,26,41,21,24,48,40
puma_2102000,KY,47650,586,18942,732,2583,279,24707,736,252,75,20,24,1024,153,0,28,97,68,25,23
puma_2102100,KY,45109,565,13154,525,1885,243,27242,684,425,130,21,25,2219,284,0,28,74,53,89,46
puma_2102200,KY,41760,628,8797,493,2241,303,28860,718,354,141,49,43,1275,257,0,28,92,66,92,63
puma_2102300,KY,50168,519,14646,713,4339,379,28251,678,1013,179,20,25,1541,219,94,106,198,80,66,41
puma_2102400,KY,62260,645,36521,683,2194,281,20733,651,1925,253,28,30,482,124,0,28,217,77,160,81
puma_2102500,KY,42617,555,20070,626,2594,265,17949,731,1197,191,0,28,490,117,0,28,277,143,40,40
puma_2102600,KY,61251,744,23068,635,7392,433,25724,927,2388,307,34,35,2122,268,6,10,311,110,206,82
puma_2102700,KY,50847,659,11188,545,6040,407,28046,734,625,107,263,99,4445,362,25,22,133,62,82,43
puma_2102800,KY,52615,660,18089,529,4186,327,25994,724,656,175,304,112,2969,285,10,16,285,100,122,58
puma_2200100,LA,50611,737,27372,724,482,158,22459,877,0,29,0,29,146,85,0,29,46,31,106,61
puma_2200101,LA,47673,633,22943,655,418,124,24021,834,11,18,0,29,126,70,0,29,59,70,95,58
puma_2200200,LA,61203,710,29369,930,1592,231,29413,898,0,29,0,29,622,160,0,29,38,41,169,111
puma_2200300,LA,65689,830,23248,607,5857,410,34618,782,105,36,0,29,1537,221,2,4,107,44,215,100
puma_2200400,LA,57239,812,21096,816,1095,215,34617,997,13,18,0,29,334,101,0,29,38,27,46,33
puma_2200500,LA,56615,750,18617,693,6694,412,28862,767,138,64,0,29,1928,234,0,29,283,87,93,49
puma_2200600,LA,45662,692,17502,804,4279,410,22437,765,38,35,0,29,1178,201,0,29,124,68,104,66
puma_2200700,LA,65541,889,16809,585,3105,298,44219,940,123,61,33,31,920,175,11,16,110,65,211,81
puma_2200800,LA,51874,702,14864,559,2677,359,33569,853,43,34,3,4,582,139,0,29,43,33,93,49
puma_2200900,LA,56535,694,21233,724,1529,259,33512,877,12,20,0,29,149,80,0,29,25,25,75,49
puma_2201000,LA,42791,715,14813,715,1383,235,26116,754,126,94,0,29,240,76,0,29,10,17,103,52
puma_2201100,LA,44121,659,13204,717,1568,324,28908,779,105,84,0,29,165,97,8,13,104,87,59,49
puma_2201200,LA,43960,638,10664,601,353,132,32693,836,8,13,0,29,107,96,0,29,27,36,108,70
puma_2201201,LA,41618,664,13688,662,199,90,27619,736,34,38,0,29,18,29,0,29,0,29,60,53
puma_2201300,LA,65382,841,22812,848,1033,251,41216,1165,25,32,0,29,84,50,23,26,37,34,152,81
puma_2201400,LA,39471,659,15153,635,1550,221,22148,639,17,25,0,29,468,141,11,19,63,55,61,46
puma_2201500,LA,49074,796,16049,776,90,52,32793,957,0,29,0,29,40,44,0,29,14,23,88,61
puma_2201501,LA,71570,968,25224,901,329,90,45617,1025,9,14,8,15,102,61,0,29,0,29,281,91
puma_2201502,LA,46654,773,17211,832,278,100,28737,914,31,51,0,29,268,122,0,29,0,29,129,71
puma_2201600,LA,37331,483,14037,694,336,120,22756,782,21,24,0,29,115,74,9,17,0,29,57,63
