puma,state,htg_slope_com_btu_m2_degC
puma_1701104,IL,5.906971851007730
puma_1701105,IL,5.906971851007730
puma_1701204,IL,5.906971851007730
puma_1701205,IL,5.906971851007730
puma_1701300,IL,5.906971851007730
puma_1701500,IL,5.906971851007730
puma_1701602,IL,5.906971851007730
puma_1701701,IL,5.906971851007730
puma_1701900,IL,5.906971851007730
puma_1702000,IL,5.906971851007730
puma_1702100,IL,5.906971851007730
puma_1702200,IL,5.906971851007730
puma_1702300,IL,5.906971851007730
puma_1702400,IL,5.906971851007730
puma_1702501,IL,5.906971851007730
puma_1702601,IL,5.906971851007730
puma_1702700,IL,5.906971851007730
puma_1702801,IL,5.906971851007730
puma_1702901,IL,5.906971851007730
puma_1703005,IL,5.906971851007730
puma_1703007,IL,5.906971851007730
puma_1703008,IL,5.906971851007730
puma_1703009,IL,5.906971851007730
puma_1703102,IL,5.906971851007730
puma_1703105,IL,5.906971851007730
puma_1703106,IL,5.906971851007730
puma_1703107,IL,5.906971851007730
puma_1703108,IL,5.906971851007730
puma_1703202,IL,5.906971851007730
puma_1703203,IL,5.906971851007730
puma_1703204,IL,5.906971851007730
puma_1703205,IL,5.906971851007730
puma_1703207,IL,5.906971851007730
puma_1703208,IL,5.906971851007730
puma_1703209,IL,5.906971851007730
puma_1703306,IL,5.906971851007730
puma_1703307,IL,5.906971851007730
puma_1703308,IL,5.906971851007730
puma_1703309,IL,5.906971851007730
puma_1703310,IL,5.906971851007730
puma_1703401,IL,5.906971851007730
puma_1703407,IL,5.906971851007730
puma_1703408,IL,5.906971851007730
puma_1703409,IL,5.906971851007730
puma_1703410,IL,5.906971851007730
puma_1703411,IL,5.906971851007730
puma_1703412,IL,5.906971851007730
puma_1703413,IL,5.906971851007730
puma_1703414,IL,5.906971851007730
puma_1703415,IL,5.906971851007730
puma_1703416,IL,5.906971851007730
puma_1703417,IL,5.906971851007730
puma_1703418,IL,5.906971851007730
puma_1703419,IL,5.906971851007730
puma_1703420,IL,5.906971851007730
puma_1703421,IL,5.906971851007730
puma_1703422,IL,5.906971851007730
puma_1703501,IL,5.906971851007730
puma_1703502,IL,5.906971851007730
puma_1703503,IL,5.906971851007730
puma_1703504,IL,5.906971851007730
puma_1703520,IL,5.906971851007730
puma_1703521,IL,5.906971851007730
puma_1703522,IL,5.906971851007730
puma_1703523,IL,5.906971851007730
puma_1703524,IL,5.906971851007730
puma_1703525,IL,5.906971851007730
puma_1703526,IL,5.906971851007730
puma_1703527,IL,5.906971851007730
puma_1703528,IL,5.906971851007730
puma_1703529,IL,5.906971851007730
puma_1703530,IL,5.906971851007730
puma_1703531,IL,5.906971851007730
puma_1703532,IL,5.906971851007730
puma_1703601,IL,5.906971851007730
puma_1703602,IL,5.906971851007730
puma_1703700,IL,5.906971851007730
puma_1800101,IN,6.4481047378192800
puma_1800102,IN,6.4481047378192800
puma_1800103,IN,6.4481047378192800
puma_1800104,IN,6.4481047378192800
puma_1800200,IN,6.4481047378192800
puma_1800300,IN,6.4481047378192800
puma_1800401,IN,6.4481047378192800
puma_1800402,IN,6.4481047378192800
puma_1800500,IN,6.4481047378192800
puma_1800600,IN,6.4481047378192800
puma_1800700,IN,6.4481047378192800
puma_1800800,IN,6.4481047378192800
puma_1800900,IN,6.4481047378192800
puma_1801001,IN,6.4481047378192800
puma_1801002,IN,6.4481047378192800
puma_1801003,IN,6.4481047378192800
puma_1801100,IN,6.4481047378192800
puma_1801200,IN,6.4481047378192800
puma_1801300,IN,6.4481047378192800
puma_1801400,IN,6.4481047378192800
puma_1801500,IN,6.4481047378192800
puma_1801600,IN,6.4481047378192800
puma_1801700,IN,6.4481047378192800
puma_1801801,IN,6.4481047378192800
puma_1801802,IN,6.4481047378192800
puma_1801803,IN,6.4481047378192800
puma_1801900,IN,6.4481047378192800
puma_1802000,IN,6.4481047378192800
puma_1802100,IN,6.4481047378192800
puma_1802200,IN,6.4481047378192800
puma_1802301,IN,6.4481047378192800
puma_1802302,IN,6.4481047378192800
puma_1802303,IN,6.4481047378192800
puma_1802304,IN,6.4481047378192800
puma_1802305,IN,6.4481047378192800
puma_1802306,IN,6.4481047378192800
puma_1802307,IN,6.4481047378192800
puma_1802400,IN,6.4481047378192800
puma_1802500,IN,6.4481047378192800
puma_1802600,IN,6.4481047378192800
puma_1802700,IN,6.4481047378192800
puma_1802800,IN,6.4481047378192800
puma_1802900,IN,6.4481047378192800
puma_1803000,IN,6.4481047378192800
puma_1803100,IN,6.4481047378192800
puma_1803200,IN,6.4481047378192800
puma_1803300,IN,6.4481047378192800
puma_1803400,IN,6.4481047378192800
puma_1803500,IN,6.4481047378192800
puma_1803600,IN,6.4481047378192800
puma_1900100,IA,4.254694877130700
puma_1900200,IA,4.254694877130700
puma_1900400,IA,4.254694877130700
puma_1900500,IA,4.254694877130700
puma_1900600,IA,4.254694877130700
puma_1900700,IA,4.254694877130700
puma_1900800,IA,4.254694877130700
puma_1900900,IA,4.254694877130700
puma_1901000,IA,4.254694877130700
puma_1901100,IA,4.254694877130700
puma_1901200,IA,4.254694877130700
puma_1901300,IA,4.254694877130700
puma_1901400,IA,4.254694877130700
puma_1901500,IA,4.254694877130700
puma_1901600,IA,4.254694877130700
puma_1901700,IA,4.254694877130700
puma_1901800,IA,4.254694877130700
puma_1901900,IA,4.254694877130700
puma_1902000,IA,4.254694877130700
puma_1902100,IA,4.254694877130700
puma_1902200,IA,4.254694877130700
puma_1902300,IA,4.254694877130700
puma_2000100,KS,5.854373918203240
puma_2000200,KS,5.854373918203240
puma_2000300,KS,5.854373918203240
puma_2000400,KS,5.854373918203240
puma_2000500,KS,5.854373918203240
puma_2000601,KS,5.854373918203240
puma_2000602,KS,5.854373918203240
puma_2000603,KS,5.854373918203240
puma_2000604,KS,5.854373918203240
puma_2000700,KS,5.854373918203240
puma_2000801,KS,5.854373918203240
puma_2000802,KS,5.854373918203240
puma_2000900,KS,5.854373918203240
puma_2001000,KS,5.854373918203240
puma_2001100,KS,5.854373918203240
puma_2001200,KS,5.854373918203240
puma_2001301,KS,5.854373918203240
puma_2001302,KS,5.854373918203240
puma_2001303,KS,5.854373918203240
puma_2001304,KS,5.854373918203240
puma_2001400,KS,5.854373918203240
puma_2001500,KS,5.854373918203240
puma_2100100,KY,8.15206962593422
puma_2100200,KY,8.15206962593422
puma_2100300,KY,8.15206962593422
puma_2100400,KY,8.15206962593422
puma_2100500,KY,8.15206962593422
puma_2100600,KY,8.15206962593422
puma_2100700,KY,8.15206962593422
puma_2100800,KY,8.15206962593422
puma_2100900,KY,8.15206962593422
puma_2101000,KY,8.15206962593422
puma_2101100,KY,8.15206962593422
puma_2101200,KY,8.15206962593422
puma_2101300,KY,8.15206962593422
puma_2101400,KY,8.15206962593422
puma_2101500,KY,8.15206962593422
puma_2101600,KY,8.15206962593422
puma_2101701,KY,8.15206962593422
puma_2101702,KY,8.15206962593422
puma_2101703,KY,8.15206962593422
puma_2101704,KY,8.15206962593422
puma_2101705,KY,8.15206962593422
puma_2101706,KY,8.15206962593422
puma_2101800,KY,8.15206962593422
puma_2101901,KY,8.15206962593422
puma_2101902,KY,8.15206962593422
puma_2102000,KY,8.15206962593422
puma_2102100,KY,8.15206962593422
puma_2102200,KY,8.15206962593422
puma_2102300,KY,8.15206962593422
puma_2102400,KY,8.15206962593422
puma_2102500,KY,8.15206962593422
puma_2102600,KY,8.15206962593422
puma_2102700,KY,8.15206962593422
puma_2102800,KY,8.15206962593422
puma_2200100,LA,4.767297202841580
puma_2200101,LA,4.767297202841580
puma_2200200,LA,4.767297202841580
puma_2200300,LA,4.767297202841580
puma_2200400,LA,4.767297202841580
puma_2200500,LA,4.767297202841580
puma_2200600,LA,4.767297202841580
puma_2200700,LA,4.767297202841580
puma_2200800,LA,4.767297202841580
puma_2200900,LA,4.767297202841580
puma_2201000,LA,4.767297202841580
puma_2201100,LA,4.767297202841580
puma_2201200,LA,4.767297202841580
puma_2201201,LA,4.767297202841580
puma_2201300,LA,4.767297202841580
puma_2201400,LA,4.767297202841580
puma_2201500,LA,4.767297202841580
puma_2201501,LA,4.767297202841580
puma_2201502,LA,4.767297202841580
puma_2201600,LA,4.767297202841580
puma_2201700,LA,4.767297202841580
puma_2201800,LA,4.767297202841580
puma_2201900,LA,4.767297202841580
puma_2202000,LA,4.767297202841580
puma_2202100,LA,4.767297202841580
puma_2202200,LA,4.767297202841580
puma_2202201,LA,4.767297202841580
puma_2202300,LA,4.767297202841580
puma_2202301,LA,4.767297202841580
puma_2202302,LA,4.767297202841580
puma_2202400,LA,4.767297202841580
puma_2202401,LA,4.767297202841580
puma_2202402,LA,4.767297202841580
puma_2202500,LA,4.767297202841580
puma_2300100,ME,4.868313805359050
puma_2300200,ME,4.868313805359050
puma_2300300,ME,4.868313805359050
puma_2300400,ME,4.868313805359050
puma_2300500,ME,4.868313805359050
puma_2300600,ME,4.868313805359050
puma_2300700,ME,4.868313805359050
puma_2300800,ME,4.868313805359050
puma_2300900,ME,4.868313805359050
puma_2301000,ME,4.868313805359050
puma_2400100,MD,7.047819690048810
puma_2400200,MD,7.047819690048810
puma_2400301,MD,7.047819690048810
puma_2400302,MD,7.047819690048810
puma_2400400,MD,7.047819690048810
puma_2400501,MD,7.047819690048810
puma_2400502,MD,7.047819690048810
puma_2400503,MD,7.047819690048810
puma_2400504,MD,7.047819690048810
puma_2400505,MD,7.047819690048810
puma_2400506,MD,7.047819690048810
puma_2400507,MD,7.047819690048810
puma_2400601,MD,7.047819690048810
puma_2400602,MD,7.047819690048810
puma_2400700,MD,7.047819690048810
puma_2400801,MD,7.047819690048810
puma_2400802,MD,7.047819690048810
