puma,latitude,longitude
puma_0611101,37.7709073,-122.4002708
puma_0611102,37.2099164,-121.8300692
puma_0611103,34.5913162,-118.1090011
puma_0611104,34.4140833,-118.4947294
puma_0611105,34.006186,-118.2598127
puma_0611106,34.0618113,-118.2965633
puma_0611300,40.7605215,-122.0435495
puma_0800100,39.6880157,-104.9082163
puma_0800102,39.5679764,-103.1987261
puma_0800103,40.4021536,-105.3885338
puma_0800200,40.7688622,-105.4821536
puma_0800300,40.2103211,-107.9277037
puma_0800400,40.4453419,-104.7278455
puma_0800600,39.9589863,-106.4508989
puma_0800700,38.5179392,-105.5493765
puma_0800800,39.6736465,-105.0391388
puma_0800801,39.8207889,-105.1359725
puma_0800802,39.7456426,-105.1339456
puma_0800803,39.6641507,-105.1306069
puma_0800804,39.6085228,-105.0270212
puma_0800805,39.5192469,-105.1298589
puma_0800806,39.3036123,-104.9507741
puma_0800807,39.3987092,-104.6265275
puma_0800808,39.9053201,-104.3099041
puma_0800809,38.3181188,-104.5780436
puma_0800810,37.3503224,-103.3168984
puma_0800811,37.8137556,-107.653248
puma_0800812,39.1107938,-108.5431903
puma_0800813,38.5932731,-108.3007337
puma_0800814,38.8291252,-104.6473497
puma_0800815,38.8478054,-104.8559986
puma_0800816,38.8719563,-104.7854143
puma_0800817,38.8969034,-104.7215373
puma_0800818,38.782955,-104.7253325
puma_0800819,39.0345433,-104.6875596
puma_0800820,39.8048802,-105.468265
puma_0800821,40.1570805,-105.0435865
puma_0800822,40.0336217,-105.2249602
puma_0800823,39.9437734,-105.0985696
puma_0800824,39.8902545,-105.0272925
puma_0800900,39.900736,-104.9520216
puma_0801001,39.9037101,-104.8124541
puma_0801002,39.614092,-104.7775206
puma_0804101,39.7170669,-104.8489459
puma_0804102,39.6038155,-104.9021603
puma_0804103,39.8196686,-104.7792652
puma_0804104,39.7599852,-105.0186725
puma_0804105,39.7011315,-104.9657496
puma_0804106,39.6902843,-104.8054748
puma_0900100,41.4078787,-73.4539737
puma_0900101,41.2091996,-73.3688218
puma_0900102,41.0786731,-73.6013318
puma_0900103,41.0404846,-73.3356176
puma_0900104,41.1873858,-73.1957339
puma_0900105,41.3268225,-73.2188797
puma_0900300,41.9457449,-72.6997227
puma_0900301,41.7718992,-72.5614424
puma_0900302,41.7660453,-72.6833394
puma_0900303,41.8133787,-72.8240939
puma_0900304,41.6761225,-72.9249838
puma_0900305,41.6311262,-72.8061829
puma_0900306,41.6762971,-72.5757987
puma_0900500,41.7918967,-73.2354279
puma_0900700,41.4345251,-72.5242267
puma_0900900,41.4931006,-73.0739055
puma_0900901,41.5585001,-73.0366845
puma_0900902,41.4624685,-72.815065
puma_0900903,41.3825016,-72.9949107
puma_0900904,41.252745,-73.026368
puma_0900905,41.3085073,-72.922924
puma_0900906,41.1903388,-72.7660563
puma_0901100,41.5435247,-72.0844139
puma_0901101,41.3433519,-72.1445027
puma_0901300,41.8580762,-72.3409774
puma_0901500,41.8249987,-71.9907017
puma_1000101,39.7316478,-75.5637842
puma_1000102,39.7853982,-75.5989171
puma_1000103,39.6829156,-75.6932261
puma_1000104,39.4816058,-75.6297897
puma_1000200,39.0970884,-75.5029819
puma_1000300,38.6775108,-75.335495
puma_1100101,38.9377578,-77.0732363
puma_1100102,38.9546968,-77.0248198
puma_1100103,38.9128016,-76.9822766
puma_1100104,38.8604134,-76.9789328
puma_1100105,38.89341,-77.0270937
puma_1200101,29.9871155,-81.8581472
puma_1200102,26.2279453,-80.1271692
puma_1200500,26.1929544,-80.2026693
puma_1200901,26.1391715,-80.2760448
puma_1200902,26.1593535,-80.2140975
puma_1200903,29.662549,-82.3361445
puma_1200904,29.8086076,-82.5044287
puma_1201101,30.5314448,-85.8665594
puma_1201102,28.4145821,-80.6266784
puma_1201103,28.0280386,-80.7616871
puma_1201104,27.9383135,-80.6142129
puma_1201105,26.2479437,-80.6053177
puma_1201106,26.2935742,-80.1170121
puma_1201107,26.1161405,-80.1510364
puma_1201108,26.1490785,-80.0637599
puma_1201109,26.0740593,-80.2848353
puma_1201110,26.0654258,-80.3912803
puma_1201111,25.985756,-80.3520584
puma_1201112,26.0065225,-80.2091598
puma_1201113,25.9835496,-80.1986649
puma_1201114,26.8688259,-81.9408583
puma_1201500,28.8436275,-82.5247964
puma_1201701,28.5021511,-80.8225327
puma_1201900,26.2652494,-80.1956881
puma_1202101,26.0333682,-81.7527154
puma_1202102,26.1200271,-81.3047914
puma_1202103,29.6704601,-82.7666987
puma_1202300,27.356293,-81.712868
puma_1202700,30.48124,-81.5061478
puma_1203101,30.3555878,-81.7152913
puma_1203102,30.3263147,-81.4456459
puma_1203103,30.2159102,-81.5064725
puma_1203104,30.191627,-81.618859
puma_1203105,30.2581283,-81.7378109
puma_1203106,30.7728842,-87.3975586
puma_1203107,30.3450361,-87.2558442
puma_1203301,29.4637084,-81.2899855
puma_1203302,28.5679113,-82.4648352
puma_1203500,28.009786,-82.4396977
puma_1205301,28.0944903,-82.4896128
puma_1205701,28.1054949,-82.3463054
puma_1205702,28.0455751,-82.1705624
puma_1205703,27.9116799,-82.3335487
puma_1205704,27.753037,-82.2894661
puma_1205705,30.2339787,-84.8470078
puma_1205706,28.868629,-82.0223947
puma_1205707,26.4468082,-81.7258948
puma_1205708,30.4798634,-84.345452
puma_1206100,30.4360368,-84.2890497
puma_1206300,27.5708241,-82.3402321
puma_1206901,27.4267746,-82.225023
puma_1206902,29.2541125,-82.0255965
puma_1206903,25.9371107,-80.1714824
puma_1207101,25.961695,-80.1204054
puma_1207102,25.9064963,-80.2019631
puma_1207103,25.8750852,-80.2436013
puma_1207104,25.8845031,-80.3172154
puma_1207105,25.855468,-80.2888087
puma_1207300,25.8050021,-80.298017
puma_1207301,25.8200782,-80.1936428
puma_1208101,25.7820502,-80.2038867
puma_1208102,25.7734707,-80.2616943
puma_1208103,25.6837807,-80.2949233
puma_1208301,25.7272353,-80.3221604
puma_1208302,25.6435327,-80.45181
puma_1208303,25.5712565,-80.4365439
puma_1208500,25.5447713,-80.3335428
puma_1208601,25.4970764,-80.4548191
puma_1208602,25.2124426,-80.9701715
puma_1208603,30.4905499,-82.0089768
puma_1208604,30.6658583,-86.5941941
puma_1208605,26.9921451,-81.1282655
puma_1208606,28.7021313,-81.5431058
puma_1208607,28.5752955,-81.5800465
puma_1208608,28.4228118,-81.5361968
puma_1208609,28.477325,-81.3607246
puma_1208610,28.5368801,-81.3374308
puma_1208611,28.5373492,-81.4376273
puma_1208612,28.5816614,-81.239999
puma_1208613,28.2438558,-81.4746117
puma_1208614,28.0460455,-81.0973922
puma_1208615,26.6465907,-80.124557
puma_1208616,26.5979471,-80.0969433
puma_1208617,26.3716841,-80.2072809
puma_1208618,26.5894892,-80.2310069
puma_1208619,26.6454288,-80.5712038
puma_1208620,28.309658,-82.58783
puma_1208621,28.0364548,-82.8373017
puma_1208622,28.0205902,-82.7320837
puma_1208623,27.959133,-82.7611068
puma_1208624,27.9147761,-82.7277997
puma_1208700,27.8499935,-82.6990497
puma_1208900,27.7739823,-82.5811442
puma_1209100,27.7237949,-82.7156597
puma_1209300,28.1828017,-81.9615499
puma_1209501,28.1778926,-81.710978
puma_1209502,27.8343695,-81.6092895
puma_1209503,27.4034827,-80.4605849
puma_1209504,27.3400553,-82.5352779
puma_1209505,27.1954945,-82.5008673
puma_1209506,27.16374,-82.2785873
puma_1209507,28.7630921,-81.3190762
puma_1209508,28.6657051,-81.3124261
puma_1209509,28.7166455,-81.1590905
puma_1209510,30.1965474,-83.3139842
puma_1209701,29.1449651,-81.4407358
puma_1209702,29.2454337,-81.1420637
puma_1209901,29.020878,-80.8980114
puma_1209902,28.9038685,-81.0869873
puma_1209903,27.7006382,-80.5748033
puma_1209904,26.6285185,-81.8251312
puma_1209905,27.4986463,-82.6741938
puma_1209906,25.9469107,-80.2554552
puma_1209907,25.834103,-80.4046925
puma_1209908,25.8195387,-80.1478789
puma_1209909,26.3781535,-80.1132545
