puma,state,pop_2010,h_units_2010,res_area_gbs_m2,com_area_gbs_m2,ind_area_gbs_m2,hdd65_normals_2010,cdd65_normals_2010,acpen_res_2010,res_area_2010_m2,com_area_2010_m2,frac_hh_natgas,frac_hh_fok,frac_hh_othergas,frac_hh_coal,frac_hh_wood,frac_hh_solar,frac_hh_elec,frac_hh_other,frac_hh_none,frac_ff_sh_res_2010_fitting,frac_ff_dhw_res_2010_fitting,frac_ff_other_res_2010_fitting,frac_ff_sh_com_2010_fitting,frac_ff_dhw_com_2010_fitting,frac_ff_other_com_2010_fitting,frac_ff_sh_res_2010,frac_ff_dhw_res_2010,frac_ff_other_res_2010,frac_ff_sh_com_2010,frac_ff_dhw_com_2010,frac_ff_other_com_2010,frac_elec_sh_res_2010,frac_elec_dhw_res_2010,frac_elec_other_res_2010,frac_elec_sh_com_2010,frac_elec_dhw_com_2010,frac_elec_other_com_2010
puma_0400107,AZ,100430,43366,6741535.424,399455.4803,114370.4232,1412.210833,3605.559056,0.999992035,8109004.495,669331.4999,0.545657954,0,0.006554529,0,0.001632051,0.000394851,0.443602095,0.000263234,0.001895285,0.552212483,0.552212483,0.552212483,0.554502619,0.554502619,0.554502619,0.552212483,0.552212483,0.552212483,0.554502619,0.554502619,0.554502619,0.443602095,0.443602095,0.443602095,0.443602095,0.443602095,0.443602095
puma_0400108,AZ,101048,42476,5691614.609,1589828.633,456218.3099,1268,3566,0.999990963,6846115.247,2663932.367,0.16294782,0.000373962,0.003864277,0,0.000523547,0.000373962,0.829248834,0.000423824,0.002243774,0.167186059,0.167186059,0.167186059,0.168507392,0.168507392,0.168507392,0.167186059,0.167186059,0.167186059,0.168507392,0.168507392,0.168507392,0.829248834,0.829248834,0.829248834,0.829248834,0.829248834,0.829248834
puma_0400109,AZ,102150,47056,4998586.184,2862433.891,583853.9926,1248.991454,3625.480196,0.999991469,6012511.289,4796322.154,0.194374623,0.00052785,0.007942892,0,0.003041424,0.000754072,0.784134325,0.00017595,0.009048864,0.202845365,0.202845365,0.202845365,0.206816811,0.206816811,0.206816811,0.202845365,0.202845365,0.202845365,0.206816811,0.206816811,0.206816811,0.784134325,0.784134325,0.784134325,0.784134325,0.784134325,0.784134325
puma_0400110,AZ,116958,67374,8874589.352,3124057.762,364474.7911,1233.253604,3733.833291,0.999993689,10674732.15,5234701.665,0.294625131,0.001191207,0.005631159,0,0.000451215,0.000974624,0.691748186,0.001804859,0.00357362,0.301447497,0.301447497,0.301447497,0.304678194,0.304678194,0.304678194,0.301447497,0.301447497,0.301447497,0.304678194,0.304678194,0.304678194,0.691748186,0.691748186,0.691748186,0.691748186,0.691748186,0.691748186
puma_0400111,AZ,104877,57083,8480944.975,1130900.16,81245.47408,1264.333724,3860.963147,0.999996742,10201240.01,1894947.342,0.24447499,0.001331587,0.007688838,0,0.00068727,0.001438973,0.742896415,0.000708748,0.000773179,0.253495415,0.253495415,0.253495415,0.256330405,0.256330405,0.256330405,0.253495415,0.253495415,0.253495415,0.256330405,0.256330405,0.256330405,0.742896415,0.742896415,0.742896415,0.742896415,0.742896415,0.742896415
puma_0400112,AZ,105478,53352,8787794.908,1069603.1,107393.9629,1364.063606,3581.35651,0.999986519,10570332.12,1792237.39,0.467766976,0.001074832,0.012802446,0,0.000525474,0.000644899,0.515465641,0.001003177,0.000716555,0.481644254,0.481644254,0.481644254,0.483817804,0.483817804,0.483817804,0.481644254,0.481644254,0.481644254,0.483817804,0.483817804,0.483817804,0.515465641,0.515465641,0.515465641,0.515465641,0.515465641,0.515465641
puma_0400113,AZ,102189,47196,6617427.803,1332152.573,83035.25054,1177.058959,3993.162591,0.999997949,7959722.59,2232167.848,0.247836606,0.000441984,0.004582674,0,0.000465246,0.001186378,0.74313762,0,0.002349493,0.252861264,0.252861264,0.252861264,0.254512887,0.254512887,0.254512887,0.252861264,0.252861264,0.252861264,0.254512887,0.254512887,0.254512887,0.74313762,0.74313762,0.74313762,0.74313762,0.74313762,0.74313762
puma_0400114,AZ,103639,49434,5833660.458,864224.2126,69722.33891,1245.568232,3960.385637,0.999997516,7016974.013,1448102.522,0.230187222,0,0.002999182,0,0.00147687,0.000340816,0.758156866,0,0.006839044,0.233186404,0.233186404,0.233186404,0.23500409,0.23500409,0.23500409,0.233186404,0.233186404,0.233186404,0.23500409,0.23500409,0.23500409,0.758156866,0.758156866,0.758156866,0.758156866,0.758156866,0.758156866
puma_0400115,AZ,101757,45194,5350348.805,1005092.91,165775.1624,1290,3889,0.999997249,6435626.275,1684143.486,0.206712014,0.00080024,0.005326598,0,0.00310093,0,0.777208162,0.000425128,0.006426928,0.212838852,0.212838852,0.212838852,0.216364909,0.216364909,0.216364909,0.212838852,0.212838852,0.212838852,0.216364909,0.216364909,0.216364909,0.777208162,0.777208162,0.777208162,0.777208162,0.777208162,0.777208162
puma_0400116,AZ,100212,50392,5384221.136,1410303.173,80545.72782,868,4567,0.999999782,6476369.351,2363117.755,0.333792202,0,0.005576425,0,0.000559976,0,0.652255069,0.000466646,0.007349682,0.339368627,0.339368627,0.339368627,0.34039525,0.34039525,0.34039525,0.339368627,0.339368627,0.339368627,0.34039525,0.34039525,0.34039525,0.652255069,0.652255069,0.652255069,0.652255069,0.652255069,0.652255069
