puma,state,htg_slope_res_mmbtu_m2_degC
puma_0608101,CA,7.404802353030849e-06
puma_0608102,CA,7.765681099299867e-06
puma_0608103,CA,7.753098423773175e-06
puma_0608104,CA,7.636415098750463e-06
puma_0608105,CA,7.827692639908588e-06
puma_0608106,CA,7.699710701527716e-06
puma_0608301,CA,7.649739073586603e-06
puma_0608302,CA,7.901946207000775e-06
puma_0608303,CA,8.214822764713432e-06
puma_0608501,CA,7.832061991222274e-06
puma_0608502,CA,8.064107763308542e-06
puma_0608503,CA,8.012673138621162e-06
puma_0608504,CA,8.012673138621162e-06
puma_0608505,CA,7.899170294457054e-06
puma_0608506,CA,8.00487937214915e-06
puma_0608507,CA,7.883941190556243e-06
puma_0608508,CA,7.832314926044912e-06
puma_0608509,CA,8.012673138621162e-06
puma_0608510,CA,7.963379358477215e-06
puma_0608511,CA,7.784526458356786e-06
puma_0608512,CA,7.657472895051432e-06
puma_0608513,CA,7.3568521814457705e-06
puma_0608514,CA,8.012673138621162e-06
puma_0608701,CA,7.670263507832009e-06
puma_0608702,CA,7.859844602171324e-06
puma_0608900,CA,7.376733391771741e-06
puma_0609501,CA,7.397207357432432e-06
puma_0609502,CA,7.850762605499683e-06
puma_0609503,CA,7.829068759372508e-06
puma_0609701,CA,7.595709770896475e-06
puma_0609702,CA,7.677424800190346e-06
puma_0609703,CA,7.78600369927404e-06
puma_0609901,CA,8.07475238139602e-06
puma_0609902,CA,8.070228833758843e-06
puma_0609903,CA,7.99703191749919e-06
puma_0609904,CA,8.070228833758843e-06
puma_0610100,CA,7.877373986060776e-06
puma_0610701,CA,7.926401335290623e-06
puma_0610702,CA,8.039568223728792e-06
puma_0610703,CA,7.9335834453997e-06
puma_0611101,CA,8.398263228852725e-06
puma_0611102,CA,8.401709098682675e-06
puma_0611103,CA,8.328038630705575e-06
puma_0611104,CA,8.23948827284836e-06
puma_0611105,CA,8.278559575724203e-06
puma_0611106,CA,8.259645644826285e-06
puma_0611300,CA,7.820130806510368e-06
puma_0800100,CO,4.643420194984488e-06
puma_0800102,CO,4.506824181584121e-06
puma_0800103,CO,4.684664828424e-06
puma_0800200,CO,4.180767007773726e-06
puma_0800300,CO,4.883496945605477e-06
puma_0800400,CO,3.7173229335872615e-06
puma_0800600,CO,4.354981433570344e-06
puma_0800700,CO,5.002382867723576e-06
puma_0800800,CO,4.445591043045216e-06
puma_0800801,CO,4.148297023667568e-06
puma_0800802,CO,4.577662852939348e-06
puma_0800803,CO,4.942873684935241e-06
puma_0800804,CO,4.9214256485967515e-06
puma_0800805,CO,4.955973029395259e-06
puma_0800806,CO,4.944943485289197e-06
puma_0800807,CO,4.791658702000214e-06
puma_0800808,CO,4.753403732992338e-06
puma_0800809,CO,4.763620544531809e-06
puma_0800810,CO,4.742342606436226e-06
puma_0800811,CO,4.737354454955885e-06
puma_0800812,CO,4.796219833359067e-06
puma_0800813,CO,4.9496042029224915e-06
puma_0800814,CO,4.944264825850019e-06
puma_0800815,CO,4.771306085176069e-06
puma_0800816,CO,4.88548698323086e-06
puma_0800817,CO,4.754874860476108e-06
puma_0800818,CO,4.776398262016274e-06
puma_0800819,CO,4.802743126015042e-06
puma_0800820,CO,4.778179928352613e-06
puma_0800821,CO,4.748238268844608e-06
puma_0800822,CO,4.66422129417695e-06
puma_0800823,CO,4.669728849586996e-06
puma_0800824,CO,4.761873434584747e-06
puma_0800900,CO,4.230166770919026e-06
puma_0801001,CO,4.9415177941677074e-06
puma_0801002,CO,4.5924213053502515e-06
puma_0804101,CO,4.346401724346999e-06
puma_0804102,CO,3.915287056310945e-06
puma_0804103,CO,4.638685678935652e-06
puma_0804104,CO,4.652272594417856e-06
puma_0804105,CO,4.652272594417856e-06
puma_0804106,CO,4.5202035820594626e-06
puma_0900100,CT,6.2765705419141645e-06
puma_0900101,CT,6.471899201342039e-06
puma_0900102,CT,6.529566835687609e-06
puma_0900103,CT,6.558037368590879e-06
puma_0900104,CT,6.465219502515034e-06
puma_0900105,CT,6.459665202034852e-06
puma_0900300,CT,6.29125963207276e-06
puma_0900301,CT,6.374355592158821e-06
puma_0900302,CT,6.374355592158821e-06
puma_0900303,CT,6.26995136537714e-06
puma_0900304,CT,6.2090279098137154e-06
puma_0900305,CT,6.393582972428325e-06
puma_0900306,CT,6.378156240601169e-06
puma_0900500,CT,5.9084560409532314e-06
puma_0900700,CT,6.4869618927380776e-06
puma_0900900,CT,6.255364007337645e-06
puma_0900901,CT,6.0035446464052855e-06
puma_0900902,CT,6.344770031014543e-06
puma_0900903,CT,6.455446202640689e-06
puma_0900904,CT,6.566028578285651e-06
puma_0900905,CT,6.568133024794965e-06
puma_0900906,CT,6.553389749398922e-06
puma_0901100,CT,6.347549237208452e-06
puma_0901101,CT,6.470159918222374e-06
puma_0901300,CT,6.131428643792348e-06
puma_0901500,CT,6.059991377674699e-06
puma_1000101,DE,4.516539391565059e-06
puma_1000102,DE,4.545341147990863e-06
puma_1000103,DE,4.5746101196614245e-06
puma_1000104,DE,4.510051993729318e-06
puma_1000200,DE,4.716524886190605e-06
puma_1000300,DE,4.719469176256026e-06
puma_1100101,DC,7.876482333544287e-06
puma_1100102,DC,7.983873985374903e-06
puma_1100103,DC,8.014009116999353e-06
puma_1100104,DC,8.022745257722517e-06
puma_1100105,DC,8.045060422166141e-06
puma_1200101,FL,6.346011604031512e-06
puma_1200102,FL,6.316358435074292e-06
puma_1200500,FL,6.239420381046941e-06
puma_1200901,FL,6.714678253201158e-06
puma_1200902,FL,6.706101619480252e-06
puma_1200903,FL,6.722403554785973e-06
puma_1200904,FL,6.724476869213505e-06
puma_1201101,FL,6.955875383544102e-06
puma_1201102,FL,6.955510624873392e-06
puma_1201103,FL,6.965707408180643e-06
puma_1201104,FL,6.961065206710763e-06
puma_1201105,FL,6.9669015719977e-06
puma_1201106,FL,6.957484374390658e-06
puma_1201107,FL,6.962470966246745e-06
puma_1201108,FL,6.977955431300079e-06
puma_1201109,FL,6.981014891510092e-06
puma_1201110,FL,6.970285536657249e-06
puma_1201111,FL,6.972108420071284e-06
puma_1201112,FL,6.983907653524187e-06
puma_1201113,FL,6.976065848548367e-06
puma_1201114,FL,6.972501448940762e-06
puma_1201500,FL,6.841411240362843e-06
puma_1201701,FL,6.508271236211865e-06
puma_1201900,FL,6.326194505880489e-06
puma_1202101,FL,6.911156974206381e-06
puma_1202102,FL,6.904895926007001e-06
puma_1202103,FL,6.852290682244354e-06
puma_1202300,FL,6.298129725057681e-06
puma_1202700,FL,6.721685713219889e-06
puma_1203101,FL,6.2769817544903295e-06
puma_1203102,FL,6.348673266138772e-06
puma_1203103,FL,6.3640324483998355e-06
puma_1203104,FL,6.41629320161848e-06
puma_1203105,FL,6.404456247890539e-06
puma_1203106,FL,6.4219686029044905e-06
puma_1203107,FL,6.384292294676317e-06
puma_1203301,FL,6.148551463207287e-06
puma_1203302,FL,6.164534195444426e-06
puma_1203500,FL,6.475377078188167e-06
puma_1205301,FL,6.572060027775746e-06
puma_1205701,FL,6.745095438864558e-06
puma_1205702,FL,6.745095438864558e-06
puma_1205703,FL,6.739654331681476e-06
puma_1205704,FL,6.745095438864558e-06
puma_1205705,FL,6.7410444105496595e-06
puma_1205706,FL,6.72795779755213e-06
puma_1205707,FL,6.728266625448881e-06
puma_1205708,FL,6.724221919083655e-06
puma_1206100,FL,6.790145721213094e-06
puma_1206300,FL,6.142325355824596e-06
puma_1206901,FL,6.517872259010213e-06
puma_1206902,FL,6.605927891434618e-06
puma_1206903,FL,6.6375778143716255e-06
puma_1207101,FL,6.896427983378977e-06
puma_1207102,FL,6.895644065405536e-06
puma_1207103,FL,6.874121502947457e-06
puma_1207104,FL,6.896092238116315e-06
puma_1207105,FL,6.881160730348268e-06
puma_1207300,FL,6.149481676368968e-06
puma_1207301,FL,6.148660416524139e-06
puma_1208101,FL,6.762332170757979e-06
puma_1208102,FL,6.7792266405444934e-06
puma_1208103,FL,6.7770211398259835e-06
puma_1208301,FL,6.5248748340685105e-06
puma_1208302,FL,6.5860689270177665e-06
puma_1208303,FL,6.5787470518865164e-06
puma_1208500,FL,6.869352940171965e-06
puma_1208601,FL,6.989686310031749e-06
puma_1208602,FL,6.980316746654257e-06
puma_1208603,FL,6.9665101926292166e-06
puma_1208604,FL,6.9710071018531105e-06
puma_1208605,FL,6.9665101926292166e-06
puma_1208606,FL,6.9817669870689015e-06
puma_1208607,FL,6.989686310031749e-06
puma_1208608,FL,6.982465843715122e-06
puma_1208609,FL,6.975151200573083e-06
puma_1208610,FL,6.979744643482261e-06
puma_1208611,FL,6.981785325489341e-06
puma_1208612,FL,6.98554722064453e-06
puma_1208613,FL,6.980248561048132e-06
puma_1208614,FL,7.0026368988526245e-06
puma_1208615,FL,6.988229048710899e-06
puma_1208616,FL,7.000569249421987e-06
puma_1208617,FL,6.994882376956281e-06
puma_1208618,FL,6.9708869770545245e-06
puma_1208619,FL,6.954486083861845e-06
puma_1208620,FL,6.979481355414155e-06
