"puma","state","hh_total","moe_total","hh_utilgas","moe_utilgas","hh_othergas","moe_othergas","hh_elec","moe_elec","hh_fok","moe_fok","hh_coal","moe_coal","hh_wood","moe_wood","hh_solar","moe_solar","hh_other","moe_other","hh_none","moe_none"
"puma_1700600","IL","40380","571","20573","630","5581","342","12976","545","92","45","158","76","752","135","0","27","102","50","146","67"
"puma_1700700","IL","43602","536","21937","630","10817","444","8704","441","45","25","28","29","1667","210","27","21","256","80","121","62"
"puma_1700800","IL","53403","708","23220","595","9609","369","18238","595","90","44","16","18","1753","181","10","10","296","91","171","65"
"puma_1700900","IL","75580","940","26206","838","5124","330","42166","997","106","66","16","19","1627","193","18","16","123","67","194","66"
"puma_1701001","IL","62420","540","27870","670","12235","397","19733","579","165","59","13","11","1723","177","28","24","402","103","251","78"
"puma_1701104","IL","59475","808","37285","906","2207","296","19212","871","61","59","26","41","338","173","0","27","195","113","151","84"
"puma_1701105","IL","44630","839","28024","906","2111","289","13825","783","101","62","0","27","145","57","0","27","123","71","301","131"
"puma_1701204","IL","47472","1013","28394","873","4130","351","14102","891","162","94","0","27","362","98","3","6","123","77","196","134"
"puma_1701205","IL","60187","783","40579","878","2055","233","16793","736","89","60","0","27","284","120","0","27","177","105","210","85"
"puma_1701300","IL","83711","716","61175","986","3935","318","17775","740","45","32","10","13","209","69","0","27","220","89","342","128"
"puma_1701500","IL","43912","530","32376","614","1474","149","9298","524","43","31","10","15","91","41","37","45","360","156","223","81"
"puma_1701602","IL","58420","533","38175","687","8685","451","10014","402","105","48","64","47","765","119","49","32","419","109","144","55"
"puma_1701701","IL","73253","831","51598","1055","3160","219","17741","709","115","61","2","4","217","70","9","14","152","66","259","92"
"puma_1701900","IL","54291","624","39745","671","3303","257","10566","488","47","31","0","27","259","116","17","16","180","64","174","73"
"puma_1702000","IL","65845","694","48348","789","2677","213","13966","678","33","32","0","27","110","50","5","6","411","107","295","100"
"puma_1702100","IL","82369","818","48101","1039","3410","306","29738","903","148","71","14","20","139","70","25","32","380","123","414","98"
"puma_1702200","IL","62970","591","39715","812","7746","389","14102","606","328","85","13","17","565","115","9","11","195","64","297","83"
"puma_1702300","IL","39796","528","30580","576","3090","238","5674","352","120","59","0","27","54","28","25","39","180","84","73","32"
"puma_1702400","IL","45095","497","35626","553","3506","274","5277","396","153","50","0","27","313","71","5","7","119","52","96","56"
