"puma","state","htg_slope_res_btu_m2_degC"
"puma_0800812","CO",4.2518275648972
"puma_0800813","CO",4.41390459106848
"puma_0800814","CO",4.40833410392849
"puma_0800815","CO",4.2240983244603
"puma_0800816","CO",4.34648749213542
"puma_0800817","CO",4.20648945335827
"puma_0800818","CO",4.23450743803553
"puma_0800819","CO",4.25879547432521
"puma_0800820","CO",4.23062494657461
"puma_0800821","CO",4.19930932822366
"puma_0800822","CO",4.11165197492005
"puma_0800823","CO",4.11673057059759
"puma_0800824","CO",4.21454987718421
"puma_0800900","CO",3.70066689843295
"puma_0801001","CO",4.40626693221288
"puma_0801002","CO",4.05616521875614
"puma_0804101","CO",3.81064680534688
"puma_0804102","CO",3.37253953898798
"puma_0804103","CO",4.08565723646727
"puma_0804104","CO",4.09741295104739
"puma_0804105","CO",4.09741295104739
"puma_0804106","CO",3.96309171444179
"puma_0900100","CT",4.79317831369958
"puma_0900101","CT",4.97239578402094
"puma_0900102","CT",5.02542546886004
"puma_0900103","CT",5.05127620874753
"puma_0900104","CT",4.9651564227349
"puma_0900105","CT",4.96031367295475
"puma_0900300","CT",4.80652490171449
"puma_0900301","CT",4.88135716915385
"puma_0900302","CT",4.88135716915385
"puma_0900303","CT",4.78701803401653
"puma_0900304","CT",4.73062429500449
"puma_0900305","CT",4.90048696375353
"puma_0900306","CT",4.88489862461527
"puma_0900500","CT",4.46048950155229
"puma_0900700","CT",4.98562371464802
"puma_0900900","CT",4.77890850030065
"puma_0900901","CT",4.54826127794979
"puma_0900902","CT",4.8547776401987
"puma_0900903","CT",4.95612849635609
"puma_0900904","CT",5.05882571640636
"puma_0900905","CT",5.06070350730524
"puma_0900906","CT",5.04713604284266
"puma_0901100","CT",4.85809892028699
"puma_0901101","CT",4.97106337817911
"puma_0901300","CT",4.66202567312971
"puma_0901500","CT",4.59551293584355
"puma_1000101","DE",3.91146217240305
"puma_1000102","DE",3.94281842278275
"puma_1000103","DE",3.97289827662024
"puma_1000104","DE",3.90551899491392
"puma_1000200","DE",4.12379785043419
"puma_1000300","DE",4.12868525066946
"puma_1100101","DC",6.12761199629989
"puma_1100102","DC",6.22999143085676
"puma_1100103","DC",6.25843067992746
"puma_1100104","DC",6.2670223241685
"puma_1100105","DC",6.28848328404216
"puma_1200101","FL",5.66205976907476
"puma_1200102","FL",5.6288784058378
"puma_1200500","FL",5.54469401426517
"puma_1200901","FL",6.07935319234494
"puma_1200902","FL",6.0695912351124
"puma_1200903","FL",6.08815462172127
"puma_1200904","FL",6.09054743573522
"puma_1201101","FL",6.35683412707181
"puma_1201102","FL",6.35642271019198
"puma_1201103","FL",6.36822554431555
"puma_1201104","FL",6.36286239651223
"puma_1201105","FL",6.36961137829995
"puma_1201106","FL",6.3586998488104
"puma_1201107","FL",6.36447875995813
"puma_1201108","FL",6.38245726598593
"puma_1201109","FL",6.38601595375294
"puma_1201110","FL",6.37354803458918
"puma_1201111","FL",6.37563777297578
"puma_1201112","FL",6.38932023149528
"puma_1201113","FL",6.38024406480034
"puma_1201114","FL",6.37611035547939
"puma_1201500","FL",6.22485967491209
"puma_1201701","FL",5.84517573783541
"puma_1201900","FL",5.6410387776032
"puma_1202101","FL",6.30512414489616
"puma_1202102","FL",6.29798062096041
"puma_1202103","FL",6.23757842117016
"puma_1202300","FL",5.60872963440587
"puma_1202700","FL",6.08741114627351
"puma_1203101","FL",5.58509683670214
"puma_1203102","FL",5.66573893365157
"puma_1203103","FL",5.6822689261114
"puma_1203104","FL",5.74141793823493
