puma,state,htg_slope_com_mmbtu_m2_degC
puma_1210103,FL,7.220252082636024e-05
puma_1210104,FL,7.333531176063505e-05
puma_1210301,FL,7.242621184512491e-05
puma_1210302,FL,7.38888174257357e-05
puma_1210303,FL,7.488908105584339e-05
puma_1210304,FL,7.488908105584339e-05
puma_1210305,FL,7.493347354721696e-05
puma_1210306,FL,7.501178063933379e-05
puma_1210307,FL,7.552790194900276e-05
puma_1210308,FL,7.560701147175524e-05
puma_1210501,FL,7.387397307258109e-05
puma_1210502,FL,7.348864609709024e-05
puma_1210503,FL,7.444533558342582e-05
puma_1210504,FL,7.417407288862832e-05
puma_1210700,FL,6.758051756511993e-05
puma_1210900,FL,6.701475433233431e-05
puma_1211101,FL,7.522174392627349e-05
puma_1211102,FL,7.634913257298458e-05
puma_1211300,FL,6.099832489123743e-05
puma_1211501,FL,7.467406850457449e-05
puma_1211502,FL,7.462641595666743e-05
puma_1211503,FL,7.51587017403621e-05
puma_1211701,FL,7.200612715851733e-05
puma_1211702,FL,7.264570856474183e-05
puma_1211703,FL,7.36078844256074e-05
puma_1211704,FL,7.300986208828972e-05
puma_1212100,FL,6.204235501870984e-05
puma_1212701,FL,6.880667639041294e-05
puma_1212702,FL,6.953311969653635e-05
puma_1212703,FL,7.058017986309721e-05
puma_1212704,FL,7.11846982068615e-05
puma_1300100,GA,1.4754403405726954e-05
puma_1300200,GA,1.4424303142293346e-05
puma_1300300,GA,1.3413245166866692e-05
puma_1300401,GA,1.394075429329463e-05
puma_1300402,GA,1.3944029439522264e-05
puma_1300500,GA,1.3895439557794698e-05
puma_1300600,GA,1.4352420330715091e-05
puma_1300700,GA,1.3655203838020206e-05
puma_1300800,GA,1.4164816304288862e-05
puma_1300900,GA,1.3584616618944057e-05
puma_1301001,GA,1.1292581420100368e-05
puma_1301002,GA,1.0242847982375537e-05
puma_1301003,GA,1.1703102258331693e-05
puma_1301004,GA,1.1714795313600274e-05
puma_1301005,GA,1.0247872071994647e-05
puma_1301006,GA,1.1464325776171861e-05
puma_1301007,GA,1.1567602999751613e-05
puma_1301008,GA,1.141257858992548e-05
puma_1301100,GA,1.3780538544784858e-05
puma_1301200,GA,1.3511720678701827e-05
puma_1301300,GA,1.2896012952954606e-05
puma_1301400,GA,1.2592153731666925e-05
puma_1301500,GA,1.2601768721540635e-05
puma_1301600,GA,1.217322999691541e-05
puma_1301700,GA,1.2927498344969078e-05
puma_1301800,GA,1.2547358297910401e-05
puma_1301900,GA,1.1723500932978572e-05
puma_1302001,GA,1.1423780564397102e-05
puma_1302002,GA,1.1429994629155957e-05
puma_1302003,GA,1.1429994629155957e-05
puma_1302004,GA,1.1429994629155957e-05
puma_1302100,GA,1.1375171680916767e-05
puma_1302200,GA,1.1838588177221879e-05
puma_1302300,GA,1.0734220859459169e-05
puma_1302400,GA,1.1396911465106866e-05
puma_1302500,GA,1.0880784720095853e-05
puma_1302600,GA,1.0355881495709813e-05
puma_1302700,GA,1.0741052872695865e-05
puma_1302800,GA,1.0415520665890139e-05
