bus_id,Pmax,bus_capacity,true_load
107828,0.0,478.0,1.1738611786343534
107829,0.0,239.0,0.0
107830,0.0,1178.0,8.512014090667241
107831,0.0,478.0,8.512014090667241
107832,0.0,172.0,0.0
107833,0.0,478.0,0.0
107834,0.0,172.0,6.809003054306521
107835,0.0,325.0,8.512014090667241
107836,0.0,956.0,8.512014090667241
107837,0.0,478.0,0.0
107838,0.0,239.0,0.0
107839,0.0,478.0,8.808520476462188
107841,0.0,1025.0,8.512014090667241
107842,0.0,239.0,0.0
107843,0.0,239.0,0.9457793434074712
107844,0.0,239.0,3.5884875409029453
107845,0.0,1064.0,8.449671722371894
107847,0.0,892.0,7.277331089305719
107848,0.0,172.0,6.019839904421509
107849,0.0,172.0,1.6756412161334941
107850,0.0,1965.0,25.52843954416083
107851,0.0,1793.0,0.0
107852,0.0,786.0,0.0
107853,0.0,1146.0,48.31685597446271
107854,0.0,786.0,28.990721802904897
107855,0.0,4200.0,41.64774311242868
107856,0.0,786.0,0.0
107857,0.0,172.0,8.255041889644954
107858,0.0,4564.0,26.226369959955086
107859,0.0,1486.0,0.0
107860,0.0,258.0,20.980487749736795
107861,0.0,172.0,0.0
107863,0.0,1146.0,0.0
107864,0.0,872.0,25.52843954416083
107865,0.0,172.0,0.0
107866,0.0,786.0,0.0
107867,0.0,172.0,4.931129277605192
107868,0.0,86.0,16.391481224971926
107869,0.0,172.0,10.481120601459322
107870,0.0,478.0,44.09734202276539
107871,0.0,939.0,4.844458180218976
107872,0.0,2800.0,8.80243829418947
107873,0.0,978.0,13.259157354522749
107874,0.0,172.0,4.3213905047653265
107875,120.0,2800.0,6.465359755898018
107876,0.0,786.0,0.5549991323854132
107877,0.0,478.0,1.7942437704514727
107878,0.0,939.0,10.5267369685047
107879,0.0,939.0,0.0
107880,0.0,478.0,1.0826284445436005
107881,0.0,478.0,0.0
107882,81.0,3597.0,10.006710384187409
107883,0.0,239.0,0.0
107884,0.0,86.0,0.4561636704537642
107885,0.0,2100.0,2.3735716319277533
107886,0.0,939.0,0.5048211286354991
107887,0.0,172.0,5.191142569763837
107888,0.0,172.0,0.17790383147696806
107889,0.0,478.0,1.220998091247909
107890,0.0,478.0,3.992952662038616
107891,0.0,478.0,16.567864510880717
107892,0.0,717.0,12.485199660319529
107893,0.0,939.0,0.0
107894,0.0,86.0,2.841899666926951
107895,0.0,4900.0,5.192663115332016
107896,0.0,1486.0,2.562119282381976
107897,0.0,786.0,6.021360449989688
107898,0.0,86.0,0.0
107899,0.0,892.0,12.196296002365479
107900,0.0,172.0,0.0
107901,0.0,86.0,4.169335947947405
107902,0.0,172.0,0.0
107903,0.0,3500.0,21.03522739019125
107904,0.0,1486.0,17.55165749349267
107905,0.0,2992.0,23.091004998369545
107906,0.0,172.0,0.0
107907,0.0,978.0,23.091004998369545
107908,0.0,172.0,0.0
107909,0.0,172.0,8.696000104416926
107912,0.0,3500.0,22.75496442780194
107913,0.0,2570.0,22.75496442780194
107914,0.0,446.0,10.246956583959724
107915,0.0,172.0,22.75496442780194
107916,0.0,172.0,0.0
107917,0.0,172.0,9.976299472823824
107918,0.0,892.0,8.376685535099291
107919,0.0,872.0,10.631654612709065
107920,0.0,172.0,0.0
107921,0.0,1146.0,12.089857812592932
107922,0.0,172.0,5.39793676703621
107924,0.0,172.0,0.0
107925,0.0,872.0,25.58013809347892
107926,0.0,172.0,35.843820678688616
107927,0.0,1146.0,0.0
107928,700.0,9837.006025927429,12.619007670319297
107930,0.0,1784.0,51.584508400479834
107931,0.0,446.0,1.4810113834065546
107932,0.0,892.0,4.978266190218747
107933,0.0,1338.0,41.28585326720202
107934,0.0,478.0,6.415181752148105
107935,0.0,478.0,0.24480783647685347
107936,0.0,258.0,6.012237176580613
107937,0.0,172.0,6.012237176580613
107938,0.0,86.0,0.0
107939,0.0,892.0,4.049212848061247
107940,0.0,172.0,6.247921739648391
107941,0.0,1146.0,0.0
107942,0.0,786.0,0.0
107943,0.0,4200.0,10.050806205664607
107944,0.0,172.0,2.641187651927295
107945,0.0,2038.0,11.036119733844737
107946,0.0,446.0,5.714210245217487
107947,0.0,892.0,0.0
107949,0.0,478.0,9.582478170665407
107950,0.0,239.0,2.1333254321554374
107951,0.0,478.0,4.909841639650683
107952,0.0,478.0,0.0
107953,0.0,478.0,0.0
107956,0.0,892.0,0.0
107958,0.0,1793.0,1.2544500937478515
107959,0.0,892.0,2.435914000223101
107962,0.0,618.0,10.417257687595797
107963,0.0,892.0,0.0
107964,0.0,172.0,3.755747553402659
107965,0.0,172.0,2.3325169015869145
107966,0.0,172.0,8.651904282939729
107967,0.0,700.0,11.562228500434745
107968,0.0,939.0,11.653461234525496
107969,0.0,478.0,11.653461234525496
107970,281.6,6798.0,3.2113922399945003
107971,0.0,478.0,9.532300166915494
107972,0.0,939.0,0.0
107973,0.0,239.0,0.0
107974,0.0,478.0,6.033524814535122
107975,0.0,478.0,0.0
107976,0.0,1236.0,8.808520476462188
107977,0.0,2038.0,8.808520476462188
107978,0.0,892.0,4.973704553514209
107979,32.400000000000006,892.0,8.808520476462188
