plant_id,bus_id,distance,plant_Pmax,bus_capacity,true_load
571,306901,214.2386584718525,4.5,3039.0,0.0
573,309390,2113.8709289123867,1.6,1736.0,0.0
574,309479,16921.355472607873,12.0,958.0,0.0
577,303997,6364.075977333247,3.0,939.0,0.0
579,303718,199.34991803897088,436.0,2800.0,194.50974475315587
581,306044,15543.10895952667,1.8,86.0,14.660905830393569
582,306044,17106.512281052168,2.3,86.0,14.660905830393569
583,306044,20341.51184991603,4.8,86.0,14.660905830393569
585,300068,2.1967442773841586,40.3,258.0,4.608638922828253
587,302499,21819.058861445305,26.4,1400.0,21.85403470674909
591,308540,144.34111696401533,252.0,1594.0,155.83222672498485
595,300226,75301.56835911381,3.0,700.0,21.17882750236604
597,300011,12.484133681671416,190.0,797.0,10.84970355134595
599,307758,246.1024056626666,1612.0,2800.0,0.0
601,300226,70718.88932535663,11.3,700.0,21.17882750236604
602,307432,9501.882371435137,10.8,2294.0,0.0
603,308844,254.9170353396648,1316.4,3888.0,0.0
607,300226,53078.41204418848,13.1,700.0,21.17882750236604
611,306467,4899.490542546519,378.4,700.0,43.06378772992657
615,301653,6770.40791001624,3.2,86.0,116.16656467469598
619,301653,1145.8907095755194,3.1,86.0,116.16656467469598
620,304617,18.893401226013747,2.6,172.0,3.334065672242583
623,303253,8813.741083022524,23.6,2800.0,26.58711203474717
626,308494,307.99533760141526,50.0,2994.0,132.6248323217733
628,308494,307.99533760141526,23.0,2994.0,132.6248323217733
629,308494,307.99533760141526,100.0,2994.0,132.6248323217733
631,308494,307.99533760141526,80.5,2994.0,132.6248323217733
633,308494,307.99533760141526,57.4,2994.0,132.6248323217733
634,129600,3055.862149196884,1.0,239.0,4.603669389241432
636,303669,2401.852107777804,156.8,700.0,0.0
638,302314,36.88244244069888,100.0,2339.0,7.872754012283061
640,303669,1129.7333492453697,115.5,700.0,0.0
645,300726,23860.26298025994,10.0,2294.0,15.049683806308781
647,300726,15591.037045011197,9.2,2294.0,15.049683806308781
649,300726,8832.392825075445,19.6,2294.0,15.049683806308781
651,300301,106.71777168927632,33.0,2292.0,3.23687117826378
653,301611,242.33826524582872,100.4,10500.0,14.672686981178877
654,301611,242.33826524582872,176.3,10500.0,14.672686981178877
658,301611,242.33826524582872,81.6,10500.0,14.672686981178877
662,309390,24490.574410286583,3.2,1736.0,0.0
663,309730,96.55302681343149,1626.0,2294.0,141.40252597875298
669,309730,96.55302681343149,56.0,2294.0,141.40252597875298
670,302170,30.70531953205952,37.5,1497.0,10.48964213046993
671,305045,52329.3827351041,1.6,239.0,10.014714489437141
673,306489,1380.2635855907438,10.1,797.0,0.0
674,301156,3715.7040927011294,2.0,344.0,126.75340129914471
675,305876,17500.675274754085,5.6,939.0,0.0
677,310179,1504.48829499896,170.6,3628.0,0.0
679,310179,1504.48829499896,75.0,3628.0,0.0
680,310179,1504.48829499896,302.5,3628.0,0.0
685,307373,129.18874401114817,460.0,3188.0,0.0
686,307373,129.18874401114817,365.6,3188.0,0.0
687,307373,129.18874401114817,649.2,3188.0,0.0
694,307373,129.18874401114817,264.3,3188.0,0.0
696,300226,4377.849380876934,37.5,700.0,21.17882750236604
697,302170,3990.4335373339336,3.2,1497.0,10.48964213046993
698,306489,1072.3811010065958,5.6,797.0,0.0
700,309553,237.26283646042424,326.4,1400.0,117.00597166814929
702,309553,237.26283646042424,216.9,1400.0,117.00597166814929
703,309553,237.26283646042424,118.9,1400.0,117.00597166814929
704,309553,237.26283646042424,213.8,1400.0,117.00597166814929
712,300226,26.02272599940804,37.5,700.0,21.17882750236604
713,309569,192.82673218417068,124.0,2886.0,167.8409009848356
714,309569,192.82673218417068,365.6,2886.0,167.8409009848356
716,309569,192.82673218417068,264.4,2886.0,167.8409009848356
717,309058,352.76597859679663,94.5,2800.0,0.0
